DrugBank ID,SMILES,node_idx
DB03948,[H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C=NC3=C(Cl)[NH+]=CN=C23)[C@]([H])(O)[C@]1([H])O,17
DB00389,CCOC(=O)N1C=CN(C)C1=S,18
DB04525,[H][C@@](CC1=CC=CC=C1)(N=C(O)CCC(O)=O)C(O)=N[C@@]([H])(CC1=CC(C(O)=O)=C(OCC(O)=O)C=C1)C(O)=NCCCCC,19
DB08601,CCCC[Sn](CCCC)CCCC,20
DB01106,C[C@@H]1CN(CC[C@]1(C(O)=O)C1=CC=CC=C1)[C@H]1CC[C@](CC1)(C#N)C1=CC=C(F)C=C1,21
DB08516,[H][C@@](C)(\N=C\C1=CC=C(OCC2=CC(F)=CC=C2)C=C1)C(N)=O,22
DB01115,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OC,23
DB06941,CN1CCN(CC1)C1=C(C\N=N/C(N)=S)C=CC=C1,24
DB07458,[H]N1C=C(C2=CC=CC=C12)C1=C(C(=O)N([H])C1=O)C1=CN(CC[C@@H]2CCCN2C)C2=CC=CC=C12,25
DB08677,CC(C)C1=CN\C(S1)=N\C(=O)CC1=CC=CN=C1,26
DB08936,CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,27
DB07909,[H][C@]1(O)C[C@]([H])(CC[C@]1([H])C1=CC=C(C=C1)C(=O)NCCCC(O)=O)C1=CC=CC=C1,28
DB00946,CCC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2,29
DB07746,CCC1=CC=C(NS(=O)(=O)C2=CC=C(F)C=C2)C(C(O)=O)=C1C,30
DB03104,[H]\C(=C(\N=C(C)O)C(O)=N[C@@]1([H])CCCCN(CC2=CC=C(C=C2)C2=CC=CC=C2)C1=O)C1=CC(C=O)=C(CC(O)=O)C=C1,31
DB01186,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@@H](CSC)CN2CCC,32
DB06926,[H][C@](O)(CCCCC)\C=C\C=C/CCCCCCCC(O)=O,33
DB04695,[H]\C(CC\C(C)=C(/[H])CSP(O)(=O)OP(O)(O)=O)=C(\C)CCC=C(C)C,34
DB00321,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,35
DB07561,CCOC1=CC(=CC=C1)C1=CC=C(NC(=O)C(\C#N)=C(\C)O)C=C1,36
DB00599,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,37
DB02621,[H]\C1=C(\[H])/C(/[H])=C([H])\[C@@]([H])(C)CC[C@]2([H])C[C@]([H])(C[C@@](O)(O2)[C@]2([H])CSC(O)=N2)OC(=O)\C([H])=C(C)/CC1,38
DB08527,NC(=O)C1=NN(C2=C1C=CC1=C2C=NN1)C1=CC=C(C=C1)S(N)(=O)=O,39
DB03791,OC(=O)CC1=CC(OCCCN(CC(C2=CC=CC=C2)C2=CC=CC=C2)CC2=C(Cl)C(=CC=C2)C(F)(F)F)=CC=C1,40
DB03711,CCC(=O)CCC(C)(C)O,41
DB07982,CC(C)N1C(C)=NC=C1C1=NC(NC2=CC=C(C=C2)N2CCN(CC2)C(=O)CO)=NC=C1,42
DB03882,[H][C@]1(O)CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@@]([H])(O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,43
DB01355,CN1C(=O)NC(=O)C(C)(C1=O)C1=CCCCC1,44
DB00608,CCN(CC)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1,45
DB03491,NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)N1,46
DB04654,O=CCCCC1CCNCC1,47
DB04151,CN1C=NC(C[C@H](N)C(O)=O)=C1,48
DB00458,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12,49
DB02822,OCC1=CC=C(Br)C=C1,50
DB00336,NC(=O)N\N=C\C1=CC=C(O1)[N+]([O-])=O,51
DB00171,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,52
DB07497,[H][C@@]1(CCCCC=O)SC[C@]2([H])NC(=O)N[C@]12[H],53
DB09291,C[C@@H](OC[C@]1(CC[C@]2(CCC(=O)N2)CN1)C1=CC=CC=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,54
DB00368,NC[C@H](O)C1=CC(O)=C(O)C=C1,55
DB06973,CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,56
DB06144,FC1=CC=C(C=C1)N1C=C(C2CCN(CCN3CCNC3=O)CC2)C2=C1C=CC(Cl)=C2,57
DB07313,CC1=CC=C(NS(=O)(=O)C2=CC=CC=C2)C(=C1)C(O)=O,58
DB07779,[H][C@](N)(CC(=O)N1CCC[C@@]1([H])CNC(=O)C1=CC=CC=C1)CC1=C(F)C=CC=C1,59
DB02730,[H][C@]1(O)O[C@]([H])(CO)[C@@]([H])(SC)[C@]([H])(O)[C@@]1([H])O,60
DB04841,FC1=CC=C(C=C1)C(N1CCN(C\C=C\C2=CC=CC=C2)CC1)C1=CC=C(F)C=C1,61
DB04763,CC1=CC(C)=[N+](CCC2=CC=C(C=C2)S(N)(=O)=O)C(C)=C1,62
DB00227,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,63
DB03152,[H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])OCCCCCCCC,64
DB00157,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,65
DB02987,N[C@@H](CSCC(N)=O)C(O)=O,66
DB01959,CCOC(=O)C1=C(C)N(N=C1C)C1=CC(=CC=C1)[N+]([O-])=O,67
DB04657,CC1=C(SCCO1)C(=O)NC1=CC=CC=C1,68
DB06983,OCC1=C2N=C(C=C(NCC3=CN=CC=C3)N2N=C1)C1=CC=CC=C1,69
DB00206,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,70
DB00149,CC(C)C[C@H](N)C(O)=O,71
DB01142,CN(C)CCC=C1C2=CC=CC=C2COC2=CC=CC=C12,72
DB00635,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,73
DB02457,[H][P@@](=O)(CCCCCCCCCCC)OCCCC,74
DB00543,ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1,75
DB00668,CNC[C@H](O)C1=CC(O)=C(O)C=C1,76
DB00461,COC1=CC2=C(C=C1)C=C(CCC(C)=O)C=C2,77
DB01223,NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,78
DB07369,CN(C1=CC(Cl)=CC=C1)S(=O)(=O)C1=CC2=C(CC3=C(C)C(C)=C(C)N3)C(=O)N=C2C=C1,79
DB01011,CC(C)(C(=O)C1=CN=CC=C1)C1=CC=CN=C1,80
DB07584,CC1=NN=C(N1)C1=CC=CC=C1NC1=NC=NC2=C1C=CN2,81
DB01407,CC(C)(C)NCC(O)C1=CC(Cl)=C(N)C(Cl)=C1,82
DB01151,CNCCCN1C2=CC=CC=C2CCC2=CC=CC=C12,83
DB05234,C[C@@H]1CC[C@H]([C@@H](O)C(F)(F)F)N1C1=CC2=C(NC(=O)C=C2C(F)(F)F)C=C1,84
DB06212,CC1=CC=CC=C1C(=O)NC1=CC(C)=C(C=C1)C(=O)N1CCC[C@@H](O)C2=C1C=CC(Cl)=C2,85
DB08285,[H][C@@](CC)(CO)NC1=NC2=C(C=NN2C(NCC2=CC=CC=C2)=N1)C(C)C,86
DB07677,CC1=NC2=C(CSCC2)C(=O)N1,87
DB04301,NC(=N)C1=CC2=C(C=C1)N=C(N2)C(O)(O)C1=NC2=C(N1)C=C(C=C2)C([NH3+])=[NH2+],88
DB04643,OC(=O)CCCOC1=CC=C(NC(=O)NC(=O)C2=CC=C(Cl)C=C2Cl)C(Cl)=C1,89
DB00420,CN(C)CCCN1C2=CC=CC=C2SC2=CC=CC=C12,90
DB01961,[H][C@]1(CO)O[C@@]([H])(N2C=CC(=N)N=C2O)[C@]([H])(O)[C@]1([H])OP(O)(O)=O,91
DB03962,[H][C@]1(COP([O-])(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])([N+]3=CC=CC(=C3)C(O)=N)[C@]([H])(O)[C@]2([H])O)O[C@@]([H])(N2C(Br)=NC3=C(N)N=CN=C23)[C@]([H])(OP(O)(O)=O)[C@]1([H])O,92
DB00468,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C1=CC=NC2=CC=C(OC)C=C12,93
DB08463,[H][C@@](CC)(CO)NC1=NC2=C(N=CN2C(C)C)C(NCC2=CC=C(C=C2)C2=CC=CC=N2)=N1,94
DB01100,FC1=CC=C(C=C1)C(CCCN1CCC(CC1)N1C(=O)NC2=CC=CC=C12)C1=CC=C(F)C=C1,95
DB00679,CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1,96
DB04194,[H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(O[C@]2([H])O[C@]([H])(CO)[C@@]([H])(O[C@]3([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]3([H])N=C(C)O)[C@]([H])(O)[C@@]2([H])N=C(C)O)[C@]([H])(O)[C@@]1([H])N=C(C)O,97
DB01483,CCC1(CC)C(=O)NC(=O)NC1=O,98
DB01022,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC\C(C)=C\CC1=C(C)C(=O)C2=C(C=CC=C2)C1=O,99
DB00412,CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1,100
DB00738,NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1,101
DB01717,[H][C@]1(COP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])(N3C=NC4=C(N)N=CN=C34)[C@]([H])(O)[C@]2([H])O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O,102
DB01236,FCOC(C(F)(F)F)C(F)(F)F,103
DB01238,ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl,104
DB00863,CN\C(NCCSCC1=CC=C(CN(C)C)O1)=C/[N+]([O-])=O,105
DB04828,CN1C(CC(O)=O)=CC(C)=C1C(=O)C1=CC=C(Cl)C=C1,106
DB06637,NC1=CC=NC=C1,107
DB04434,CC1=CC=CC(=N1)C1=C(CNN1)C1=CC=C2N=CC=CC2=N1,108
DB00786,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C,109
DB07833,CC1=NN=C(O1)C1=CC=C(C)C(=C1)C1=CC=C(C=C1)C(=O)NC1=CC(=CC=C1)C#N,110
DB02552,CC(C)=CCC\C(C)=C\CO[P@@](=O)(O)OP(=O)(O)O,111
DB00167,CC[C@H](C)[C@H](N)C(O)=O,112
DB01861,OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O,113
DB04338,NC1=NC=CC(=N1)C1=C(N=CN1C1CCNCC1)C1=CC=C(F)C=C1,114
DB00275,CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O,115
DB07589,[H][C@@](CS(=O)(=O)CC1=CC=CC=C1)(N[C@@]([H])(C1=CC=C(O)C=C1)C(F)(F)F)C(=O)NC1(CN)CC1,116
DB07217,FC1=CC=CC=C1C(=O)NC1=C(C#N)C2=C(CCCC2)S1,117
DB08058,FC1=CC=C(CC2=NNC(=O)C3=CC=CC=C23)C=C1C(=O)N1CCCNCC1,118
DB04311,NCCCCC1=CC=CC=C1,119
DB05171,[H]\C(C1=CC(OC)=C(C=C1)N1C=NC(C)=C1)=C1\CCCN(C1=O)[C@@]([H])(C)C1=CC=C(F)C=C1,120
DB01382,COCCOC1=CN=C(NS(=O)(=O)C2=CC=CC=C2)N=C1,121
DB06979,CCCCCCCCCCCCSC1=C(N=NN1)C(O)=O,122
DB00454,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,123
DB00607,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(OCC)C=CC2=CC=CC=C12)C(O)=O,124
DB00612,CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1,125
DB00446,OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O,126
DB01184,ClC1=CC2=C(C=C1)N(C1CCN(CCCN3C(=O)NC4=CC=CC=C34)CC1)C(=O)N2,127
DB05109,[H][C@@]12[C@@H]3SC[C@]4(NCCC5=C4C=C(OC)C(O)=C5)C(=O)OC[C@H](N1[C@@H](O)[C@@H]1CC4=CC(C)=C(OC)C(O)=C4[C@H]2N1C)C1=C2OCOC2=C(C)C(OC(C)=O)=C31,128
DB04881,COC1=CC=CC2=C1NC1=C(C=CC=C1C(=O)NC1=CC=C(CCN3CCC4=CC(OC)=C(OC)C=C4C3)C=C1)C2=O,129
DB07778,C[C@]1(OC(=O)N(NC2=CC=CC=C2)C1=O)C1=CC=C(OC2=CC=CC=C2)C=C1,130
DB01342,CCCCC1=NN(CC2=CN=C(C=C2)C2=CC=CC=C2C2=NNN=N2)C(CCCC)=N1,131
DB04908,FC(F)(F)C1=CC(=CC=C1)N1CCN(CCN2C(=O)NC3=CC=CC=C23)CC1,132
DB06896,FC1=CC=C(C=C1)N1C=CC=C(C(=O)NC2=CC=C(OC3=CC=NC4=C3C=CN4)C(F)=C2)C1=O,133
DB01620,CN(C)CCC(C1=CC=CC=C1)C1=CC=CC=N1,134
DB06589,CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=CC=NC(NC2=CC=C(C)C(=C2)S(N)(=O)=O)=N1,135
DB01091,CN(CC1=CC=C(C=C1)C(C)(C)C)CC1=CC=CC2=CC=CC=C12,136
DB05087,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@](C)(O)CC[C@]12C,137
DB00947,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3C[C@@H](CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)[C@@]21[H],138
DB06413,NC(=O)C[S@@](=O)C(C1=CC=CC=C1)C1=CC=CC=C1,139
DB08167,CN(C)C1=CC2=[S+]C3=CC(=CC=C3N=C2C=C1)N(C)C,140
DB00408,CN1CCN(CC1)C1=NC2=CC=CC=C2OC2=C1C=C(Cl)C=C2,141
DB00734,CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1,142
DB04253,NC(=O)C1=CC(N2CC2)=C(C=C1[N+]([O-])=O)[N+]([O-])=O,143
DB01122,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC1=CC=CC=C1Cl,144
DB03504,CCCCN1C(CC2=CC(OC)=C(OC)C(OC)=C2Cl)=NC2=C(N)N=CN=C12,145
DB00434,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12,146
DB00297,CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C,147
DB01028,COC(F)(F)C(Cl)Cl,148
DB07940,IC1=CC=CC(CNC2=C3CCCCC3=NC3=C2C=CC=C3)=C1,149
DB04094,CC(=O)CCO,150
DB00201,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,151
DB09143,[H][C@]1(C)CN(C[C@@]([H])(C)O1)C1=CC=C(NC(=O)C2=CC=CC(=C2C)C2=CC=C(OC(F)(F)F)C=C2)C=N1,152
DB00306,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,153
DB02098,[H][C@]1(COP(O)(O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(OP(O)(O)=O)[C@]1([H])O,154
DB00748,CN(C)CCOC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1,155
DB07772,COC1=CC=C(C=C1)C1=CC=C(C=C1)S(=O)(=O)N[C@@H](C(C)C)P(O)(O)=O,156
DB08429,[H][C@](N)(CC(=O)N1CCC[C@@]1([H])CNC(=O)C1=CC=CC(=C1)S(C)(=O)=O)CC1=CC(Cl)=CC=C1,157
DB01170,NC(N)=NCCN1CCCCCCC1,158
DB06287,OCC(C)(CO)C(=O)O[C@@H]1CC[C@@H](C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@@H](OC)C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)C[C@H]1OC,159
DB07522,[H][C@](N)(CC1=CC=CC=C1)[C@]([H])(O)CNS(=O)(=O)C1=CC=C2C=CC=CC2=C1,160
DB08479,COC1=CC(OC)=CC(NC(=N)NC(N)=N)=C1,161
DB03159,NC(=[NH2+])C1=CC=C2NC(=CC2=C1)C1=CC=CC(=C1[O-])C1=CC=CC=C1,162
DB06849,NCC1=CC2=C(OCC22CCN(CC2)C(=O)\C=C\C2=CC=CC=C2)C=C1,163
DB00886,[H][C@]12CCC[C@H](N1C(=O)[C@H](CCS2)NC(=O)[C@@H](S)CC1=CC=CC=C1)C(O)=O,164
DB01107,CCC1(CC)C(=O)NCC(C)C1=O,165
DB00801,FC(F)(F)CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,166
DB00553,COC1=C2OC(=O)C=CC2=CC2=C1OC=C2,167
DB08156,NS(=O)(=O)C1=CC=C(CCC(O)=O)C=C1,168
DB00255,CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,169
DB05255,CC(C)(CC1CC2=C(C1)C=CC=C2)NC[C@@H](O)COC1=CC(CCC(O)=O)=CC(F)=C1F,170
DB00778,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=NOCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,171
DB06077,[H][C@]12CCN(CCCC(=O)C3=CC=C(F)C=C3)C[C@@]1([H])C1=CC=CC3=C1N2CCN3C,172
DB02633,NC1=C(C=C(NC2=CC=C(NC3=NC(Cl)=NC(NC4=CC=CC=C4S(O)(=O)=O)=N3)C(=C2)S(O)(=O)=O)C2=C1C(=O)C1=CC=CC=C1C2=O)S(O)(=O)=O,173
DB03294,CN1SC(=O)C2=CC(=CC=C12)S(N)(=O)=O,174
DB01219,[O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(O1)C=NN1CC(=O)NC1=O,175
DB05018,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,176
DB05864,[H][C@@]1([C@H](OC)[C@@H](CC[C@]11CO1)OC(=O)N[C@H](C(C)C)C(N)=O)[C@@]1(C)O[C@@H]1CC=C(C)C,177
DB08019,[H][C@]1(CC2=NC(N)=CC(C)=C2)CNC[C@]1([H])NCCNCC1=CC(Cl)=CC=C1,178
DB01248,[H][C@@]12C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C4=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)C5=CC=CC=C5)[C@]3([H])[C@@]1(CO2)OC(C)=O)C4(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C1=CC=CC=C1,179
DB04794,C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1,180
DB00342,CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,181
DB00139,OC(=O)CCC(O)=O,182
DB00459,COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1,183
DB00242,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1,184
DB00794,CCC1(C(=O)NCNC1=O)C1=CC=CC=C1,185
DB07377,[H][C@@](N)(CCSC(C)C)[C@]([H])(O)C(=O)NNC(=O)C1=CC(Cl)=CC=C1,186
DB03661,N[C@@H](CS(O)(=O)=O)C(O)=O,187
DB00191,CC(C)(N)CC1=CC=CC=C1,188
DB04701,CSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,189
DB00927,NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1,190
DB07027,[H][C@@](N)(CC1=CC=CC=C1)C(=O)N1CCC[C@@]1([H])C(=O)NCC1=CC=CC(F)=C1,191
DB00675,CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,192
DB06616,COC1=CC(NC2=C(C=NC3=CC(OCCCN4CCN(C)CC4)=C(OC)C=C23)C#N)=C(Cl)C=C1Cl,193
DB04020,OC1=CC=C(CCNC2=NC(SCCCC3=CC=C(Cl)C=C3)=NC(=N2)N2CCNCC2)C=C1,194
DB00381,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC,195
DB04636,CC(C)(C)OC(=O)[C@@H](N)CCC(N)=O,196
DB02288,CC1=CC(Br)=C([O-])C(=C1)C1=NC2=CC(=CC=C2N1)C(N)=[NH2+],197
DB01694,O[C@@H]([C@@H](O)C(O)=O)C(O)=O,198
DB00745,NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,199
DB00945,CC(=O)OC1=CC=CC=C1C(O)=O,200
DB07007,[H][C@@]1(COC2=CC=C3CCNCC3=C2)COC2=C(SC=C2)C(N)=N1,201
DB07981,CC[C@H](CO)NC(=O)CC1=C(C)N(C(=O)C2=CC=C(Cl)C=C2)C2=CC=C(OC)C=C12,202
DB09073,CC(=O)C1=C(C)C2=CN=C(NC3=NC=C(C=C3)N3CCNCC3)N=C2N(C2CCCC2)C1=O,203
DB00584,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O,204
DB00540,CNCCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,205
DB04752,[H]\C(CCCCCC)=C(/[H])CCCCCCCC(=O)O[C@@]([H])(COC(=O)CCCCCCC\C([H])=C(\[H])CCCCCCCC)COP(O)(=O)OCCO,206
DB00133,N[C@@H](CO)C(O)=O,207
DB03899,CCCCN1C(CC2=CC=C(OC)C=C2)=NC2=C(N)N=CN=C12,208
DB04369,OB1OCCO1,209
DB02112,CC(=N)N1CCC(CC1)OC1=CC=C2C(=C1)N(CC1=CC=C3C=CC(=CC3=C1)C(N)=N)C1=C2C=CC=C1,210
DB00292,CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1,211
DB07219,[H][C@](C)(CC)[C@]([H])(NC(=O)[C@@]1([H])O[C@]1([H])C(=O)NCCC)C(=O)N1CCC[C@@]1([H])C(=O)OCC1=CC=CC=C1,212
DB04934,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C)C(O)=C4C(=O)C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)=C1OC5=C(N=C1C4=C3C2=O)C(O)=CC(=C5)N1CCN(CC(C)C)CC1,213
DB03615,[H][C@@]1(O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2N)O[C@H](CO)[C@@H](O)[C@H]1O,214
DB01595,[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,215
DB05713,CN1CCC(CC1)N1CCN(CC1)C(=O)[C@H](NC(=O)C1=CC=C2C=CNC2=C1)C1=CC=CC=C1,216
DB00736,COC1=CC2=C(NC(=N2)[S@@](=O)CC2=NC=C(C)C(OC)=C2C)C=C1,217
